"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"A563.1497",1497,5995294057,2018-04-20 19:35:11,-6.4435,36.99062,2,314,3,0,-2,22,"A563",2,193521.937195277,4099376.99773333,"A563.2"
"A563.1498",1498,5995294058,2018-04-20 19:35:33,-6.44354,36.99063,2,157,3,0,-16,32,"A563",2,193518.416112212,4099378.23655923,"A563.2"
"A563.1499",1499,5995294059,2018-04-20 19:36:05,-6.44333,36.9907,2,258,3,0,-2,29,"A563",2,193537.39403791,4099385.32886637,"A563.2"
"A563.1500",1500,5995294060,2018-04-20 19:36:34,-6.44374,36.99041,2,272,3,0,44,29,"A563",2,193499.725669171,4099354.46373672,"A563.2"
"A563.1501",1501,5995294061,2018-04-20 19:37:03,-6.44356,36.99065,2,312,3,0,-32,31,"A563",2,193516.715848066,4099380.52080462,"A563.2"
"A563.1502",1502,5995294062,2018-04-20 19:37:34,-6.44358,36.99067,2,195,3,0,28,30,"A563",2,193515.015584883,4099382.80505042,"A563.2"
"A563.1503",1503,5995294063,2018-04-20 19:38:04,-6.44371,36.9906,2,236,3,0,44,31,"A563",2,193503.160167528,4099375.45489863,"A563.2"
"A563.1504",1504,5995294064,2018-04-20 19:38:35,-6.44315,36.99055,2,260,3,0,8,29,"A563",2,193552.81702534,4099368.10037559,"A563.2"
"A563.1505",1505,5995294065,2018-04-20 19:39:04,-6.44357,36.99053,2,230,3,0,24,34,"A563",2,193515.343314338,4099367.23438462,"A563.2"
"A563.1506",1506,5995294066,2018-04-20 19:39:38,-6.4434,36.99056,2,221,3,0,6,27,"A563",2,193530.599267226,4099370.01606779,"A563.2"
"A563.1507",1507,5995294067,2018-04-20 19:40:05,-6.44358,36.99067,5,271,2,0,-20,32,"A563",2,193515.015584883,4099382.80505042,"A563.2"
"A563.1508",1508,5995294068,2018-04-20 19:40:37,-6.44357,36.99051,2,210,3,1.027777786,-16,30,"A563",2,193515.262944937,4099365.01460881,"A563.2"
"A563.1509",1509,5995294069,2018-04-20 19:41:07,-6.44351,36.99069,2,243,3,0,4,28,"A563",2,193521.328167271,4099384.79918298,"A563.2"
"A563.1510",1510,5995294070,2018-04-20 19:41:35,-6.44337,36.99094,2,291,3,0,-34,31,"A563",2,193534.797157656,4099412.09510706,"A563.2"
"A563.1511",1511,5995294071,2018-04-20 19:42:06,-6.44336,36.9908,2,300,2,0,-34,28,"A563",2,193535.124914786,4099396.52444364,"A563.2"
"A563.1512",1512,5995294072,2018-04-20 19:42:34,-6.4434,36.99083,2,277,3,0,-16,35,"A563",2,193531.684204807,4099399.98304025,"A563.2"
"A563.1513",1513,5995294073,2018-04-20 19:43:09,-6.44346,36.99056,2,276,3,0,8,27,"A563",2,193525.257361882,4099370.20946959,"A563.2"
"A563.1514",1514,5995294074,2018-04-20 19:43:36,-6.44343,36.99086,2,278,3,0,-76,32,"A563",2,193529.133811726,4099403.40940468,"A563.2"
"A563.1515",1515,5995294075,2018-04-20 19:44:08,-6.44361,36.99063,2,200,3,0,18,27,"A563",2,193512.183894786,4099378.46220435,"A563.2"
"A563.1516",1516,5995294076,2018-04-20 19:44:35,-6.44358,36.99071,2,266,3,0,44,28,"A563",2,193515.176324789,4099387.24460212,"A563.2"
"A563.1517",1517,5995294077,2018-04-20 19:45:03,-6.44334,36.9906,2,135,3,0,32,34,"A563",2,193536.101900729,4099374.26222072,"A563.2"
"A563.1518",1518,5995294078,2018-04-20 19:45:37,-6.44349,36.99066,1.4,224,2,0,16,28,"A563",2,193522.988247652,4099381.40505063,"A563.2"
"A563.1519",1519,5995294079,2018-04-20 19:46:05,-6.44361,36.99059,2,196,3,0,32,30,"A563",2,193512.023153774,4099374.02265264,"A563.2"
"A563.1520",1520,5995294080,2018-04-20 19:46:35,-6.44306,36.99047,2,231,3,0,52,29,"A563",2,193560.508453899,4099358.93119851,"A563.2"
"A563.1521",1521,5995294081,2018-04-20 19:47:04,-6.44372,36.99056,2,272,3,0,-4,30,"A563",2,193502.109104314,4099371.04758312,"A563.2"
"A563.1522",1522,5995294082,2018-04-20 19:47:34,-6.44376,36.99045,2,285,3,0,52,28,"A563",2,193498.105777742,4099358.96776172,"A563.2"
"A563.1523",1523,5995294083,2018-04-20 19:48:02,-6.44371,36.99047,2,358,3,0,68,35,"A563",2,193502.637744931,4099361.02635529,"A563.2"
"A563.1524",1524,5995294084,2018-04-20 19:48:37,-6.44377,36.9904,2,170,3,2.055555572,34,28,"A563",2,193497.014524043,4099353.45055868,"A563.2"
