"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"CECB.1890",1890,5995384437,2018-04-19 19:35:36,-6.43518,37.00071,14.2,417,4,9.250000074,114,27,"CECB",2,194303.132017993,4100470.08608516,"CECB.2"
"CECB.1891",1891,5995384438,2018-04-19 19:36:03,-6.43371,37.00264,13.3,436,4,7.194444502,98,30,"CECB",2,194441.726256729,4100679.56767746,"CECB.2"
"CECB.1892",1892,5995384439,2018-04-19 19:36:33,-6.43244,37.00373,12.3,400,4,7.194444502,46,30,"CECB",2,194559.145493978,4100796.46342134,"CECB.2"
"CECB.1893",1893,5995384440,2018-04-19 19:37:03,-6.43173,37.00577,11.4,431,4,7.194444502,76,31,"CECB",2,194630.51898399,4101020.59880139,"CECB.2"
"CECB.1894",1894,5995384441,2018-04-19 19:37:34,-6.4321,37.00818,10.4,429,4,11.305555646,42,30,"CECB",2,194607.23977682,4101289.27019525,"CECB.2"
"CECB.1895",1895,5995384442,2018-04-19 19:38:04,-6.43143,37.00826,10,441,4,7.194444502,-76,31,"CECB",2,194667.197497486,4101295.99659237,"CECB.2"
"CECB.1896",1896,5995384443,2018-04-19 19:38:35,-6.43173,37.00772,9.2,440,4,6.166666716,30,30,"CECB",2,194638.330914914,4101237.02657874,"CECB.2"
"CECB.1897",1897,5995384444,2018-04-19 19:39:05,-6.43046,37.00581,8.4,449,4,7.194444502,-150,30,"CECB",2,194743.726468263,4101020.95876554,"CECB.2"
"CECB.1898",1898,5995384445,2018-04-19 19:39:35,-6.43056,37.00695,8.1,461,4,3.083333358,50,30,"CECB",2,194739.390485931,4101147.80689778,"CECB.2"
"CECB.1899",1899,5995384446,2018-04-19 19:40:05,-6.42903,37.00366,7.3,445,4,9.250000074,-446,30,"CECB",2,194862.409881522,4100777.74177702,"CECB.2"
"CECB.1900",1900,5995384447,2018-04-19 19:40:35,-6.43133,37.00696,7.1,452,4,3.083333358,34,30,"CECB",2,194670.891119329,4101151.39014927,"CECB.2"
"CECB.1901",1901,5995384448,2018-04-19 19:41:05,-6.42992,37.00817,6.4,439,4,8.222222288,74,30,"CECB",2,194801.243277177,4101281.15757496,"CECB.2"
"CECB.1902",1902,5995384449,2018-04-19 19:41:35,-6.42809,37.01,6.2,452,4,9.250000074,120,30,"CECB",2,194971.456759006,4101478.39156273,"CECB.2"
"CECB.1903",1903,5995384450,2018-04-19 19:42:05,-6.42706,37.01242,6,435,4,7.194444502,110,30,"CECB",2,195072.81816929,4101743.67838345,"CECB.2"
"CECB.1904",1904,5995384451,2018-04-19 19:42:35,-6.42576,37.01443,5.4,432,4,7.194444502,128,30,"CECB",2,195196.565088459,4101962.59475223,"CECB.2"
"CECB.1905",1905,5995384452,2018-04-19 19:43:05,-6.42453,37.01537,5.2,435,4,10.27777786,80,27,"CECB",2,195309.797716565,4102062.97936154,"CECB.2"
"CECB.1906",1906,5995384453,2018-04-19 19:43:32,-6.42356,37.01709,2.4,302,5,2.055555572,38,31,"CECB",2,195403.005427881,4102250.76973378,"CECB.2"
"CECB.1907",1907,5995384454,2018-04-19 19:44:03,-6.42222,37.01899,2.4,369,5,9.250000074,80,29,"CECB",2,195529.858086289,4102457.35316667,"CECB.2"
"CECB.1908",1908,5995384455,2018-04-19 19:44:32,-6.42123,37.02037,2.4,268,5,10.27777786,18,32,"CECB",2,195623.479132679,4102607.3453426,"CECB.2"
"CECB.1909",1909,5995384456,2018-04-19 19:45:04,-6.42028,37.02356,2.4,437,5,9.250000074,96,28,"CECB",2,195720.766817938,4102958.35553502,"CECB.2"
"CECB.1910",1910,5995384457,2018-04-19 19:45:32,-6.41899,37.02577,2.4,326,5,5.13888893,104,31,"CECB",2,195844.39134656,4103199.50925569,"CECB.2"
"CECB.1911",1911,5995384458,2018-04-19 19:46:03,-6.41748,37.02679,2.3,424,5,6.166666716,18,30,"CECB",2,195982.837103452,4103307.88416142,"CECB.2"
"CECB.1912",1912,5995384459,2018-04-19 19:46:33,-6.41678,37.0271,2.3,440,5,4.111111144,36,29,"CECB",2,196046.366199862,4103340.05068254,"CECB.2"
"CECB.1913",1913,5995384460,2018-04-19 19:47:02,-6.41565,37.029,2.3,350,5,8.222222288,50,31,"CECB",2,196154.502517903,4103547.31370525,"CECB.2"
"CECB.1914",1914,5995384461,2018-04-19 19:47:33,-6.41495,37.03118,2.3,393,5,6.166666716,58,30,"CECB",2,196225.487929207,4103787.02958614,"CECB.2"
"CECB.1915",1915,5995384462,2018-04-19 19:48:03,-6.41404,37.03132,2.3,364,5,9.250000074,36,29,"CECB",2,196307.021121407,4103799.65824328,"CECB.2"
"CECB.1916",1916,5995384463,2018-04-19 19:48:32,-6.41282,37.03161,2.2,346,5,5.13888893,52,31,"CECB",2,196416.736684142,4103827.94513557,"CECB.2"
"CECB.1917",1917,5995384464,2018-04-19 19:49:03,-6.41189,37.03103,2.2,445,5,5.13888893,18,31,"CECB",2,196497.179361114,4103760.60013934,"CECB.2"
"CECB.1918",1918,5995384465,2018-04-19 19:49:34,-6.41065,37.03109,2.2,452,5,4.111111144,36,28,"CECB",2,196607.757947096,4103763.29831713,"CECB.2"
"CECB.1919",1919,5995384466,2018-04-19 19:50:02,-6.40947,37.03093,2.2,365,4,4.111111144,56,30,"CECB",2,196712.121215106,4103741.77209807,"CECB.2"
"CECB.1920",1920,5995384467,2018-04-19 19:50:32,-6.40904,37.02985,2.2,336,4,4.111111144,22,30,"CECB",2,196746.083888716,4103620.53208375,"CECB.2"
"CECB.1921",1921,5995384468,2018-04-19 19:51:02,-6.4086,37.02946,2.2,393,4,4.111111144,18,30,"CECB",2,196783.684571551,4103575.84218096,"CECB.2"
"CECB.1922",1922,5995384469,2018-04-19 19:51:32,-6.40781,37.02905,2.2,289,3,8.222222288,44,30,"CECB",2,196852.35106913,4103527.81575594,"CECB.2"
"CECB.1923",1923,5995384470,2018-04-19 19:52:02,-6.40817,37.02848,2.1,342,4,3.083333358,44,31,"CECB",2,196818.047277328,4103465.70139863,"CECB.2"
"CECB.1924",1924,5995384471,2018-04-19 19:52:33,-6.40789,37.02782,2.1,416,4,3.083333358,4,29,"CECB",2,196840.336561071,4103391.55568209,"CECB.2"
"CECB.1925",1925,5995384472,2018-04-19 19:53:02,-6.40673,37.02843,2.1,348,4,5.13888893,6,30,"CECB",2,196945.988767347,4103455.5572753,"CECB.2"
"CECB.1926",1926,5995384473,2018-04-19 19:53:32,-6.40536,37.02857,2.4,260,3,5.13888893,4,30,"CECB",2,197068.456995946,4103466.72604381,"CECB.2"
"CECB.1927",1927,5995384474,2018-04-19 19:54:02,-6.40434,37.02882,2.1,268,4,3.083333358,30,30,"CECB",2,197160.216976605,4103491.22093778,"CECB.2"
