"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"X5057.7356",7356,6597989666,2018-04-18 23:52:25,-6.44276,36.99135,4.2,257,4,0,16,9,"X5057",1,193590.753459259,4099455.63445346,"X5057.1"
"X5057.7357",7357,6597989667,2018-04-18 23:52:34,-6.44264,36.99133,4.2,231,4,0,46,30,"X5057",1,193601.356807517,4099453.02795368,"X5057.1"
"X5057.7358",7358,6597989668,2018-04-18 23:53:04,-6.44291,36.99146,4.2,264,4,0,-40,31,"X5057",1,193577.840792766,4099468.3266437,"X5057.1"
"X5057.7359",7359,6597989669,2018-04-18 23:53:35,-6.44275,36.99139,4.2,231,4,0,18,29,"X5057",1,193591.804470965,4099460.04177687,"X5057.1"
"X5057.7360",7360,6597989670,2018-04-18 23:54:04,-6.44281,36.99135,4.2,226,4,0,12,30,"X5057",1,193586.301918561,4099455.79559261,"X5057.1"
"X5057.7361",7361,6597989671,2018-04-18 23:54:34,-6.44279,36.99133,4.2,228,4,0,18,4951,"X5057",1,193588.002182181,4099453.51136117,"X5057.1"
"X5057.7362",7362,6597989672,2018-04-19 01:17:05,-6.44244,36.9913,7,119,3,0,-4,62,"X5057",1,193619.042457089,4099449.05378035,"X5057.1"
"X5057.7363",7363,6597989673,2018-04-19 01:18:07,-6.44254,36.99123,7,135,3,0,-4,30,"X5057",1,193609.858157249,4099441.60681716,"X5057.1"
"X5057.7364",7364,6597989674,2018-04-19 01:18:37,-6.44307,36.99141,5.1,110,3,0,-12,30,"X5057",1,193563.394983786,4099463.29288109,"X5057.1"
"X5057.7365",7365,6597989675,2018-04-19 01:19:07,-6.44244,36.99133,5.1,127,3,0,-56,55,"X5057",1,193619.162973725,4099452.38344325,"X5057.1"
"X5057.7366",7366,6597989676,2018-04-19 01:20:02,-6.44295,36.99144,4.4,114,4,0,-38,37,"X5057",1,193574.19920859,4099466.23578498,"X5057.1"
"X5057.7367",7367,6597989677,2018-04-19 01:20:39,-6.44276,36.99139,7.1,99,3,1.027777786,2,32,"X5057",1,193590.914163301,4099460.07400443,"X5057.1"
"X5057.7368",7368,6597989678,2018-04-19 01:21:11,-6.4419,36.99098,7.1,120,3,0,42,27,"X5057",1,193665.833816448,4099411.79739236,"X5057.1"
"X5057.7369",7369,6597989679,2018-04-19 01:21:38,-6.44211,36.99149,7.1,124,3,3.083333358,6,28,"X5057",1,193649.185840689,4099469.07828379,"X5057.1"
"X5057.7370",7370,6597989680,2018-04-19 01:22:06,-6.44226,36.99116,5.1,130,3,0,2,32,"X5057",1,193634.505631769,4099432.93532735,"X5057.1"
"X5057.7371",7371,6597989681,2018-04-19 01:22:38,-6.44246,36.99132,5.1,148,3,0,-2,28,"X5057",1,193617.342184695,4099451.33800496,"X5057.1"
"X5057.7372",7372,6597989682,2018-04-19 01:23:06,-6.44249,36.9913,5.1,116,3,0,-22,29,"X5057",1,193614.590913878,4099449.21490439,"X5057.1"
"X5057.7373",7373,6597989683,2018-04-19 01:23:35,-6.4423,36.99137,5.1,116,3,0,-4,32,"X5057",1,193631.787971876,4099456.37185867,"X5057.1"
"X5057.7374",7374,6597989684,2018-04-19 01:24:07,-6.44248,36.99137,4.4,148,4,0,16,31,"X5057",1,193615.762431418,4099456.95189293,"X5057.1"
"X5057.7375",7375,6597989685,2018-04-19 01:24:38,-6.44328,36.99136,7.1,102,3,5.13888893,-44,31,"X5057",1,193544.497614919,4099458.42030328,"X5057.1"
"X5057.7376",7376,6597989686,2018-04-19 01:25:09,-6.44265,36.99145,7.1,107,3,1.027777786,-46,51,"X5057",1,193600.948596072,4099466.37883271,"X5057.1"
"X5057.7377",7377,6597989687,2018-04-19 01:26:00,-6.44271,36.99144,4.4,130,4,0,-36,5,"X5057",1,193595.566578928,4099465.46230623,"X5057.1"
"X5057.7378",7378,6597989688,2018-04-19 01:26:05,-6.44292,36.99165,5,114,2,0,-36,32,"X5057",1,193577.713868964,4099489.44674131,"X5057.1"
