"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"X60F1.2",2,5995292481,2018-04-19 19:26:35,-6.49177,36.98097,1,444,6,6.166666716,112,26,"X60F1",2,189185.028739494,4098462.63067652,"X60F1.2"
"X60F1.3",3,5995292482,2018-04-19 19:27:01,-6.49077,36.98206,1,340,6,6.166666716,112,30,"X60F1",2,189278.512421864,4098580.34202583,"X60F1.2"
"X60F1.4",4,5995292483,2018-04-19 19:27:31,-6.4896,36.98275,1,345,6,2.055555572,100,30,"X60F1",2,189385.50205457,4098653.10286116,"X60F1.2"
"X60F1.5",5,5995292484,2018-04-19 19:28:01,-6.48875,36.98325,1,454,6,1.027777786,58,30,"X60F1",2,189463.223166781,4098705.82177879,"X60F1.2"
"X60F1.6",6,5995292485,2018-04-19 19:28:31,-6.48752,36.98418,1,422,6,3.083333358,58,30,"X60F1",2,189576.528630415,4098805.02651127,"X60F1.2"
"X60F1.7",7,5995292486,2018-04-19 19:29:01,-6.48614,36.98386,1,384,6,5.13888893,40,30,"X60F1",2,189698.102658659,4098765.00546647,"X60F1.2"
"X60F1.8",8,5995292487,2018-04-19 19:29:31,-6.48529,36.98383,1,415,6,4.111111144,36,29,"X60F1",2,189773.665255714,4098758.90232898,"X60F1.2"
"X60F1.9",9,5995292488,2018-04-19 19:30:00,-6.48385,36.98344,1.4,345,3,4.111111144,32,2,"X60F1",2,189900.298530784,4098710.91924657,"X60F1.2"
"X60F1.10",10,5995292489,2018-04-19 19:30:02,-6.48378,36.9834,1.2,378,4,4.111111144,50,31,"X60F1",2,189906.368815551,4098706.25137141,"X60F1.2"
"X60F1.11",11,5995292490,2018-04-19 19:30:33,-6.4827,36.98258,1,338,6,4.111111144,32,30,"X60F1",2,189999.201151284,4098611.71822717,"X60F1.2"
"X60F1.12",12,5995292491,2018-04-19 19:31:03,-6.48278,36.9821,1,343,6,4.111111144,46,30,"X60F1",2,189990.127247574,4098558.70384545,"X60F1.2"
"X60F1.13",13,5995292492,2018-04-19 19:31:33,-6.48173,36.98214,1,388,6,7.194444502,44,30,"X60F1",2,190083.784549101,4098559.72090717,"X60F1.2"
"X60F1.14",14,5995292493,2018-04-19 19:32:03,-6.48133,36.98139,1,415,6,5.13888893,28,30,"X60F1",2,190116.355197186,4098475.17492162,"X60F1.2"
"X60F1.15",15,5995292494,2018-04-19 19:32:33,-6.48062,36.98158,1,350,6,3.083333358,22,29,"X60F1",2,190180.347652095,4098493.94958421,"X60F1.2"
"X60F1.16",16,5995292495,2018-04-19 19:33:02,-6.48048,36.98089,1.1,338,4,4.111111144,20,31,"X60F1",2,190190.011743293,4098416.91045658,"X60F1.2"
"X60F1.17",17,5995292496,2018-04-19 19:33:33,-6.47961,36.98198,1.1,431,4,12.333333432,-22,30,"X60F1",2,190271.905249478,4098535.05542108,"X60F1.2"
"X60F1.18",18,5995292497,2018-04-19 19:34:03,-6.48049,36.98132,1,344,6,3.083333358,30,30,"X60F1",2,190190.867452873,4098464.66868236,"X60F1.2"
"X60F1.19",19,5995292498,2018-04-19 19:34:33,-6.47927,36.98208,1.1,312,5,3.083333358,32,30,"X60F1",2,190302.585728416,4098545.0470567,"X60F1.2"
"X60F1.20",20,5995292499,2018-04-19 19:35:03,-6.47914,36.98143,1,386,6,4.111111144,30,30,"X60F1",2,190311.522726984,4098472.48029017,"X60F1.2"
"X60F1.21",21,5995292500,2018-04-19 19:35:33,-6.47974,36.98229,1,412,6,7.194444502,18,30,"X60F1",2,190261.588302766,4098569.88570615,"X60F1.2"
"X60F1.22",22,5995292501,2018-04-19 19:36:03,-6.4788,36.982,1,366,6,5.13888893,18,30,"X60F1",2,190344.111042358,4098534.63729987,"X60F1.2"
"X60F1.23",23,5995292502,2018-04-19 19:36:33,-6.47943,36.98119,1,413,6,6.166666716,24,30,"X60F1",2,190284.72584463,4098446.78718366,"X60F1.2"
"X60F1.24",24,5995292503,2018-04-19 19:37:03,-6.48154,36.98097,1,410,5,5.13888893,20,30,"X60F1",2,190095.950004523,4098429.24349884,"X60F1.2"
"X60F1.25",25,5995292504,2018-04-19 19:37:33,-6.48162,36.98018,1,373,6,5.13888893,26,31,"X60F1",2,190085.617437568,4098341.8221825,"X60F1.2"
"X60F1.26",26,5995292505,2018-04-19 19:38:04,-6.48136,36.98035,1,425,6,7.194444502,22,29,"X60F1",2,190109.459609954,4098359.84318295,"X60F1.2"
