date,season,location,roost,roost type,box exp,other animals in roost,time,bat.id,bag nr,genus,species,transmitter,tx mass,tx attachment,tx time on,recap,mass w bag,mass of bag,mass of bat,sex,age,FA.right,FA.left,repro state,nipple ,testes,testes size,bucchal gland,streblids,streblid counts,mites,mite counts,other parasites,parasites coll?,wingpunch (Dna/MHC),wingpunch samples,isotopes,fur samples (isotopes),feces,foto,blood smear,blood sample,vaginal smear,teeth,Team,comment,,,
2012-04-24,spring,Reichenau-Waldsiedlung,RW Kasten 7,flachkasten,NA,1,10:30,000708A520,NA,Nyctalus,noctula,149.799,NA,Sauer,>tracked,no,NA,NA,28.9,f,a,56.3,NA,NA,l,NA,NA,NA,no,NA,yes,many,no,no,no,0,feces,NA,NA,yes,no,no,no,,,"cold, lethargic, 5th finger: 59.1, worn thumb claw, tracked with VTK 2012, migrated xxx, Sauer took veryl ong to set because of cold",,,
2012-04-24,spring,Reichenau-Waldsiedlung,RW Kasten 7,flachkasten,NA,1,10:45,00070B63A2,NA,Nyctalus,noctula,149.729,NA,Sauer,>tracked,no,NA,NA,27.9,f,a,55.5,NA,NA,s,NA,NA,NA,no,NA,yes,many,bug,bug,no,0,fur,NA,NA,yes,no,no,no,,,"cold, but bity, 5th finger: 59.1, scars from mites, tracked with VTK 2012, migrated, Sauer took veryl ong to set because of cold",,,
2012-04-27,spring,Reichenau-Waldsiedlung,cemetery tree,tree,NA,NA,20:45,000708865E,NA,Nyctalus,noctula,149.511,NA,Superglue,NA,no,NA,NA,28,m,a,52.2,NA,scr,NA,m,9.5,NA,no,NA,no,NA,no,no,no,0,fur,NA,NA,yes,no,no,no,,,"large bucchal glands, net capture (emerging), fecal sample from roost (not individual), tracked with VTK 2012",,,
2012-04-27,spring,Reichenau-Waldsiedlung,cemetery tree,tree,NA,NA,20:50,000708873C,NA,Nyctalus,noctula,149.638,NA,Superglue,>tracked,no,NA,NA,23,f,a,55.4,NA,NA,s,NA,NA,NA,yes,2,yes,medium,NA,"mites, strebs",no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 58.4, scar on right wing from parasite, tracked with VTK 2012, was entering roost",,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,000708E233,NA,Nyctalus,noctula,151.428,NA,Superglue,NA,no,NA,NA,26.2,f,a,54.4,NA,NA,s,NA,NA,NA,yes,1,yes,few,no,no,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 55.4, took fecal sample from roost, tracked with VTK 2012",,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,000708859E,NA,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,23,m,a,53.6,NA,NA,NA,s,NA,NA,no,NA,yes,few,no,NA,no,0,fur,NA,NA,no,no,no,no,,,"lethargic, did not put tx, put back in roost as did not warm up",,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,0007088A00,NA,Nyctalus,noctula,149.4555,NA,Superglue,NA,no,NA,NA,32.7,m,a,56.6,NA,nr,NA,0,NA,NA,no,NA,no,NA,no,NA,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 55.8, took fecal sample from roost, tracked with VTK 2012,",,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,0007089B59,NA,Nyctalus,noctula,149.512,NA,Superglue,NA,no,NA,NA,25,f,a,54.2,NA,NA,l,NA,NA,NA,no,NA,no,NA,no,no,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 56.5, broken wing tip, tracked with VTK 2012",,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,0007089CEF,NA,Nyctalus,noctula,151.569,NA,Superglue,NA,no,NA,NA,26.4,f,a,53.9,NA,NA,l,NA,NA,NA,NA,NA,yes,few,NA,no,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 56.7, took fecal sample from roost, tracked with VTK 2012,",,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,0007089F22,NA,Nyctalus,noctula,151.330,NA,Superglue,NA,no,NA,NA,24.4,m,a,53.7,NA,nr,NA,0,NA,NA,no,NA,no,NA,no,NA,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 56.1, took fecal sample from roost, tracked with VTK 2012,",,,
